Name of City,State,Type,Population (2011),Population class
Mumbai,Maharashtra,Municipal Corporation / Corporation,"1,35,97,924",Class I
Delhi,Delhi,Municipal Corporation / Corporation,"1,10,07,835",Class I
Bengaluru,Karnataka,Municipal Corporation / Corporation,"84,25,970",Class I
Ahmedabad,Gujarat,Municipal Corporation / Corporation.,"72,08,200",Class I
Hyderabad,Telangana,Municipal Corporation / Corporation,"68,09,970",Class I
Chennai,Tamil Nadu,Municipal Corporation / Corporation.,"46,81,087",Class I
Kolkata,West Bengal,Municipal Corporation / Corporation,"44,86,679",Class I
Pune,Maharashtra,Urban Agglomeration,"37,60,636",
Jaipur,Rajasthan,Municipal Corporation / Corporation,"30,73,350",Class I
Surat,Gujarat,Municipal Corporation / Corporation.,"28,76,374",
Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,"28,15,601",Class I
Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,"27,67,031",Class I
Nagpur,Maharashtra,Municipal Corporation / Corporation,"24,05,421",Class I
Patna,Bihar,Municipal Corporation / Corporation.,"22,31,554",
Indore,Madhya Pradesh,Municipal Corporation / Corporation.,"19,60,631",Class I
Thane,Maharashtra,Municipal Corporation / Corporation.,"18,18,872",Class I
Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,"17,95,648",Class I
Visakhapatnam,Andhra Pradesh,Municipal Committee.,"17,30,320",Class I
Vadodara,Gujarat,Municipal Committee.,"16,66,703",Class I
Firozabad,Uttar Pradesh,Census town.,"16,45,675",Class I
Ludhiana,Punjab,Municipal Corporation / Corporation.,"16,13,878",Class I
Rajkot,Gujarat,Urban Agglomeration,"16,06,745",
Agra,Uttar Pradesh,Municipal Corporation / Corporation.,"15,74,542",Class I
Siliguri,West Bengal,Municipal Corporation / Corporation.,"15,72,000",
Nashik,Maharashtra,Municipal Corporation / Corporation,"14,86,973",Class I
Faridabad,Haryana,Municipal Corporation / Corporation.,"14,04,653",Class I
Patiala,Punjab,Municipal Corporation / Corporation.,"13,54,686",
Meerut,Uttar Pradesh,Municipal Corporation / Corporation,"13,09,023",Class I
Kalyan-Dombivali,Maharashtra,Municipal Corporation / Corporation.,"12,46,381",Class I
Vasai-Virar,Maharashtra,Municipal Corporation / Corporation.,"12,21,233",Class I
Varanasi,Uttar Pradesh,Municipal Corporation / Corporation.,"12,01,815",Class I
Srinagar,Jammu and Kashmir,Urban Agglomeration,"11,92,792",
Dhanbad,Jharkhand,Municipal Corporation / Corporation,"11,61,561",Class I
Jodhpur,Rajasthan,Municipal Corporation / Corporation,"11,37,000",Class I
Amritsar,Punjab,Municipal Corporation / Corporation.,"11,32,761",Class I
Raipur,Chhattisgarh,Municipal Committee,"11,22,555",
Allahabad,Uttar Pradesh,Municipality.,"11,17,094",Class I
Coimbatore,Tamil Nadu,Municipal Corporation / Corporation,"10,61,447",Class I
Jabalpur,Madhya Pradesh,Municipal Corporation / Corporation,"10,54,336",Class I
Gwalior,Madhya Pradesh,Municipal Corporation / Corporation,"10,53,505",Class I
Vijayawada,Andhra Pradesh,Municipal Corporation / Corporation.,"10,48,240",Class I
Madurai,Tamil Nadu,Municipal Corporation / Corporation,"10,16,885",Class I
Guwahati,Assam,Municipal Corporation / Corporation,"9,63,429",Class I
Chandigarh,Chandigarh,Municipal Corporation / Corporation.,"9,60,787",Class I
Hubli-Dharwad,Karnataka,Municipal Corporation / Corporation,"9,43,857",Class I
Amroha,Uttar Pradesh,Nagar Panchayat.,"8,97,135",Class I
Moradabad,Uttar Pradesh,Municipal Corporation / Corporation,"8,89,810",Class I
Gurgaon,Haryana,Municipal Corporation / Corporation.,"8,76,824",Class I
Aligarh,Uttar Pradesh,Municipalityunicipal Corporation / Corporation.,"8,72,575",Class I
Solapur,Maharashtra,Municipal Corporation / Corporation.,"8,72,478",
Ranchi,Jharkhand,Urban Agglomeration,"8,63,495",
Jalandhar,Punjab,Municipal Corporation / Corporation,"8,62,196",Class I
Tiruchirappalli,Tamil Nadu,Municipal Corporation / Corporation.,"8,46,915",Class I
Bhubaneswar,Odisha,Municipal Corporation / Corporation,"8,37,737",Class I
Salem,Tamil Nadu,Municipal Corporation / Corporation,"8,31,038",Class I
Warangal,Telangana,Municipal Corporation / Corporation.,"8,19,429",Class I
Mira-Bhayandar,Maharashtra,Municipal Corporation / Corporation,"8,14,655",Class I
Thiruvananthapuram,Kerala,Municipal Corporation / Corporation.,"7,52,490",Class I
Bhiwandi,Maharashtra,Municipal Corporation / Corporation.,"7,11,329",Class I
Saharanpur,Uttar Pradesh,Municipal Corporation / Corporation,"7,03,345",Class I
