timestamp,Hiring for month,user id,Salary per Month,image_url,Job title,Year of experience,Job location,searchkey,About job,Job starting date,Apply by date,status,Number of openings,Company name,generated post id,Requirements,Qualification,job_id,Job location lat,Job location long
"Timestamp(seconds=1594897061, nanoseconds=574547000)",12,DFnrjr0KMFf5VdFuerlzDGOtBei2,9k-15k,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2FDFnrjr0KMFf5VdFuerlzDGOtBei2.jpeg?alt=media&token=1c425371-07f1-4b0b-a43b-6a3b13364a78,Deflasher,0-1,"Bawal (Haryana), Ranjangaon near Pune (Maharashtra), Bhiwadi (Rajasthan), Daslana  (Gujarat)","['P', 'B', 'D']","to remove residual rubber, titanium,stainless or plastic material from resistor ladders. To clear jms on converyor,visual inspection to ensure that flsh has been removed,hits chamber of mchine with malllet to loosen plastic abrading beads.",01-08-2020,01-08-2020,open,15,Polyplastics Industries India Pvt.Ltd.,2b96d660-c753-11ea-8d21-b5b4eb7703cd,They would have to stay near our plant,"ITI,Diploma",7QEDWrCS07EEtYlbjyzA,,
"Timestamp(seconds=1594915696, nanoseconds=828159000)",12,3w4OH4ITykUZEXLXYi2cz8UCPcx2,8000-12000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2F3w4OH4ITykUZEXLXYi2cz8UCPcx2.jpeg?alt=media&token=3463af71-541e-4e36-8887-80f407ca85cc,Kitchen Helper,0-3,"Mumbai, Pune,Hyderabad, Delhi","['A', 'M', 'K']",Preparing & cooking meals and helping the main chef,01-08-2020,01-08-2020,open,10,Absolute Barbecue ,8f10efc0-c77e-11ea-d1fb-bbad64001e7f,"Experience of South Indian, Continental food",8th pass,8S5GyR2lGacUmTa1jsmv,,
"Timestamp(seconds=1594897761, nanoseconds=667916000)",24,DFnrjr0KMFf5VdFuerlzDGOtBei2,10000-15000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2FDFnrjr0KMFf5VdFuerlzDGOtBei2.jpeg?alt=media&token=1c425371-07f1-4b0b-a43b-6a3b13364a78,Assemby Operators,0-1,"Bawal (Haryana), Ranjangaon near Pune (Maharashtra), Bhiwadi (Rajasthan), Daslana (Gujarat)","['P', 'B', 'A']","to put products and product components together using their hnds, machinery,and various tools.",01-08-2020,01-08-2020,open,15,Polyplastics Industries India Pvt.Ltd.,cce08d30-c754-11ea-f016-295b48f42895,no,"ITI, Diploma",JSAMoPj2NKLhVm9geEqT,,
"Timestamp(seconds=1594897540, nanoseconds=507363000)",24,DFnrjr0KMFf5VdFuerlzDGOtBei2,9000-15000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2FDFnrjr0KMFf5VdFuerlzDGOtBei2.jpeg?alt=media&token=1c425371-07f1-4b0b-a43b-6a3b13364a78,Quality Inspectors,01-Feb,"Bawal (Haryana), Ranjangaon near Pune (Maharashtra), Bhiwadi (Rajasthan), Daslana (Gujarat)","['P', 'B', 'Q']","to monitor the quality of incoming and outgoing products or materials for the company,also to task with conducting tests, analysing measurements.",01-08-2020,01-08-2020,open,15,Polyplastics Industries India Pvt.Ltd.,490e36b0-c754-11ea-fe89-d1ca6c649fd5,they would have to stay near our plant,"ITI, Diploma",SIZ53mKC5Z5VhrKgLkIq,,
"Timestamp(seconds=1594896422, nanoseconds=723794000)",12,DFnrjr0KMFf5VdFuerlzDGOtBei2,9000-15000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2FDFnrjr0KMFf5VdFuerlzDGOtBei2.jpeg?alt=media&token=1c425371-07f1-4b0b-a43b-6a3b13364a78,Painter,0-1,"Bawal (Haryana), Ranjangaon near Pune (Maharashtra), Bhiwadi (Rajasthan), Daslana (Gujarat)","['P', 'B', 'P']","To apply various finishes to buildings,rooms, or other structures,including primers or sealers. Also to remove old paint coating,if required,moves necessary materials around jobsite as assigned and cleams up worksite debris",01-08-2020,01-08-2020,open,25,Polyplastics Industries India Pvt.Ltd.,aecde930-c751-11ea-f42b-afe895de38fc,no,10 Pass out,SKLQnzqd8isLscci7jaC,,
"Timestamp(seconds=1594915515, nanoseconds=735577000)",24,3w4OH4ITykUZEXLXYi2cz8UCPcx2,9000-12000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2F3w4OH4ITykUZEXLXYi2cz8UCPcx2.jpeg?alt=media&token=3463af71-541e-4e36-8887-80f407ca85cc,Waiter,01-Feb,"Pune,Mumbai, Hyderabad, Delhi","['A', 'P', 'W']","To serve dish, helps with cooking & cleaning",01-08-2020,01-08-2020,open,10,Absolute Barbecue ,23205670-c77e-11ea-9322-23abb90748ec,no,"Proficient in Hindi,Marathi, 10th pass",Sc35yz2EI4qBl8CST2fX,,
"Timestamp(seconds=1594897308, nanoseconds=148428000)",12,DFnrjr0KMFf5VdFuerlzDGOtBei2,9000-10000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2FDFnrjr0KMFf5VdFuerlzDGOtBei2.jpeg?alt=media&token=1c425371-07f1-4b0b-a43b-6a3b13364a78,Injection Moulding Machine Operator,0-1,"Bawal (Haryana), Ranjangaon near Pune (Maharashtra), Bhiwadi (Rajasthan), Daslana (Gujarat)","['P', 'B', 'I']","to set and operate injection Moulding Machine to shape plstics,reading blueprints and diagrams to select, position,and secure machinery",01-08-2020,01-08-2020,open,25,Polyplastics Industries India Pvt.Ltd.,be8f0b40-c753-11ea-d131-756ab0ac4889,They would have to stay near our plant,"ITI , Diploma",YfJd5nIqdyPRgfU44mjD,,
"Timestamp(seconds=1594898300, nanoseconds=974998000)",12,DFnrjr0KMFf5VdFuerlzDGOtBei2,9000-12000,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2FDFnrjr0KMFf5VdFuerlzDGOtBei2.jpeg?alt=media&token=1c425371-07f1-4b0b-a43b-6a3b13364a78,loading/unloading helpers,0-3,"Bawal (Haryana), Ranjangaon near Pune (Maharashtra), Bhiwadi (Rajasthan), Daslana (Gujarat)","['P', 'B', 'L']",loading and unloading of company products,01-08-2020,01-08-2020,open,15,Polyplastics Industries India Pvt.Ltd.,0e5444e0-c756-11ea-901e-99073cd6176b,they would have to stay near our plant,12th passout,h8IaWQzRAuJZwTUIVsdv,,
"Timestamp(seconds=1593940272, nanoseconds=319676000)",88,g206r370JXWILbEXqdYTnynNALc2,7866,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2Fg206r370JXWILbEXqdYTnynNALc2.jpeg?alt=media&token=1590de67-ec37-49d5-932f-58da32182704,ghjiugff,5666,cgghoogd,"['H', 'C', 'G']",Hiooiywrtiopjbcsaegjiugfddssguo9ut,07-07-2020,23-07-2020,close,566,hahahahha,78c0a4f0-be9f-11ea-9bdf-f119ad49a06f,Hjioo,Jkl,nvW29kXCdLwB7AWF6RjP,,
"Timestamp(seconds=1593940219, nanoseconds=859971000)",75,g206r370JXWILbEXqdYTnynNALc2,7566,https://firebasestorage.googleapis.com/v0/b/fresh-metrics-274712.appspot.com/o/user_image%2Fg206r370JXWILbEXqdYTnynNALc2.jpeg?alt=media&token=1590de67-ec37-49d5-932f-58da32182704,hjio,5566,chjipj,"['H', 'C', 'H']",Hhjkllkhfdddfgjklbnjgfdddsssfhhj,07-07-2020,21-07-2020,close,78666,hahahahha,597b9410-be9f-11ea-91e9-4fdcd6f943c5,Ghjko,Fgjkkk,qT1xvBDu6FnFdS6Octmq,,
